ID;Название;Статус;Стартовая;Текущая;Ставок;Категория;Картинки
35440;14 гренада;ENDED;100.00;0.00;0;Всё по Крымской Войне 1853-1856гг;[]
35472;О&#41; Грифон. 1;ENDED;500.00;0.00;0;Античные монеты;[]
35491;Гемиобол;ENDED;3500.00;0.00;0;Античные монеты;[]
35513;фибулы;ENDED;2500.00;0.00;0;Металлопластика античная;[]
35514;кольцо засеянное поле;ENDED;500.00;0.00;0;Античная и средневековая керамика, стекло;[]
35516;кокарда РИА.;ENDED;350.00;0.00;0;Государственные награды Россйской Империи  (ордена, кресты, медали);[]
35517;медаль настольная СССР;ENDED;400.00;0.00;0;Фалеристика СССР;[]
35518;монеты разные;ENDED;400.00;0.00;0;Монеты мира (современные);[]
35519;1,2,5 копеек СССР 1937 год;ENDED;450.00;0.00;0;Россия и СССР;[]
35520;Деревянные пасхальные яйца 50-годов;ENDED;1100.00;0.00;0;Керамика, фарфор, стекло (предметы декоративно-прикладного искусства, посуда);[]
35522;Атичная монета;ENDED;500.00;0.00;0;Античные монеты;[]
35523;Античные монеты;ENDED;500.00;0.00;0;Античные монеты;[]
35524;Колт &#40;височное украшение&#41;;ENDED;12000.00;0.00;0;Металлопластика античная;[]
35526;каталог крестов-подвесок Х-ХV Веков;ENDED;2900.00;0.00;0;Литература в помощь коллекционеру (научные издания, каталоги, аукционные каталоги, искусствоведение и пр.);[]
35537;Игрушки из Ссср;ENDED;2100.00;0.00;0;Игрушки (солдатики, машинки, пистолеты, автоматы, куклы и проч.);[]
35542;дева-грифон  ФIΛIΣ;ENDED;5000.00;0.00;0;Античные монеты;[]
35545;10 копеек 1940 года &#40;не частая&#41;;ENDED;300.00;0.00;0;Россия и СССР;[]
35547;2 копейки 1935 года &#40;не частая&#41;;ENDED;250.00;0.00;0;Россия и СССР;[]
35557;О&#41; Горит. 2;ENDED;300.00;0.00;0;Античные монеты;[]
35590;Сбруйные бляшки;ENDED;800.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35591;Ордынские наконечники;ENDED;1200.00;0.00;0;Металлопластика античная;[]
35592;Ордынские наконечники;ENDED;1500.00;0.00;0;Металлопластика античная;[]
35595;медаль настольная СССР;ENDED;400.00;0.00;0;Фалеристика СССР;[]
35602;Ременные застежки &amp; Набойки на обувь;ENDED;400.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35633;Ременной набор К.Х 16-17века;ENDED;300.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35663;Медь восточн. &#40;2&#41;;ENDED;350.00;0.00;0;Восточные;[]
35688;ТРАПЕЗУНД;ENDED;120.00;0.00;0;Восточные;[]
35690;подражание турецкому мангиру;ENDED;50.00;0.00;0;Восточные;[]
35692;2 монеты средневек. Молдавии;ENDED;150.00;0.00;0;Восточные;[]
35720;Статуэтка \&quot;Овчарка\&quot;;ENDED;3000.00;0.00;0;Произведения декоративно-прикладного искусства;[]
35746;Металлопластика &#40;1&#41;;ENDED;450.00;0.00;0;Металлопластика античная;[]
35747;Пряжки;ENDED;400.00;0.00;0;Металлопластика античная;[]
35748;Металлопластика &#40;2&#41;;ENDED;400.00;0.00;0;Металлопластика античная;[]
35760;Данг. Джалал ад-Дин хан. Азак;ENDED;1400.00;0.00;0;Восточные;[]
35772;Площадка печати &#40;1&#41;;ENDED;900.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35773;Площадка печати &#40;2&#41;;ENDED;800.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35776;Дирхемы Хана Узбека с надч. &#40;2&#41;;ENDED;300.00;0.00;0;Восточные;[]
35803;Пулы с надчеканом;ENDED;500.00;0.00;0;Восточные;[]
35832;Автоматическая шариковая ручка из оригинальных патронов калибра 30-06 ;ENDED;1299.00;0.00;0;Продажа по фиксированной цене.;[]
35840;Пуговицы разные;ENDED;200.00;0.00;0;Филобутонистика (пуговицы, пряжки);[]
35862;значки ссср.;ENDED;500.99;0.00;0;Фалеристика СССР;[]
35869;Фолис Константина 2;ENDED;200.00;0.00;0;Античные монеты;[]
35872;пулы З.О. с зверями;ENDED;300.00;0.00;0;Восточные;[]
35874;Пул тамга &#40;1&#41;;ENDED;200.00;0.00;0;Восточные;[]
35888;подсвечник настенный.;ENDED;555.00;0.00;0;Бронза, чугун, изделия из металлов.;[]
35950;Ва&#41; Лев. Тетрахалк.;ENDED;350.00;0.00;0;Античные монеты;[]
35965;Коса-серп хазары;ENDED;300.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
35974;Денга Шахин гирей;ENDED;400.00;0.00;0;Восточные;[]
35990;Дирхем;ENDED;999.00;0.00;0;Восточные;[]
35992;монеты СССР подборка;ENDED;1100.00;0.00;0;Россия и СССР;[]
35995;Бусы колье слоновая кость.дерево эбэн;ENDED;0.00;0.00;0;Произведения декоративно-прикладного искусства;[]
35996;шкатулка камень;ENDED;1200.00;0.00;0;Произведения декоративно-прикладного искусства;[]
35998;Генуя;ENDED;300.00;320.00;3;Восточные;[]
36013;Мон. Византии &#40;2&#41;;ENDED;800.00;0.00;0;Античные монеты;[]
36021;Колечко 14 век;ENDED;500.00;500.00;1;Перстни и кольца;[]
36031;Нож с клеймом звезды;ENDED;100.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36032;Нож складной немецкий;ENDED;100.00;0.00;0;Остальное;[]
36075;5 копеек Масоны &#40;1832 г.&#41;;ENDED;500.00;0.00;0;Имперские (Россия);[]
36077;О&#41; 3 Чешуи.;ENDED;100.00;0.00;0;Имперские (Россия);[]
36080;Фолларо и Аспр +;ENDED;600.00;0.00;0;Восточные;[]
36083;Верина;ENDED;3500.00;0.00;0;Античные монеты;[]
36084;античные и средневековые бусы Глазатки;ENDED;2500.00;0.00;0;Античная и средневековая керамика, стекло;[]
36086;античные  бусы Сердолик &#40;камень&#41; 39 штук;ENDED;2500.00;0.00;0;Античная и средневековая керамика, стекло;[]
36105;Скифские бусины &#40;Холцедон&#41; крупные;ENDED;1200.00;0.00;0;Античная и средневековая керамика, стекло;[]
36106;Античные бусины &#40;Горный Хрусталь&#41;;ENDED;2000.00;0.00;0;Античная и средневековая керамика, стекло;[]
36110;Монета Византии;ENDED;300.00;0.00;0;Античные монеты;[]
36112;В&#41; Лев. Гемиобол. Апол.;ENDED;2000.00;0.00;0;Античные монеты;[]
36118;Две Копейки Елизаветы 1757 года;ENDED;650.00;0.00;0;Имперские (Россия);[]
36120;Брелок из паракорда для ключей - ОНИ СРАЖАЛИСЬ ЗА РОДИНУ;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36121;Брелок из паракорда для ключей - Парабеллум 9x19 мм 1941-1944;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36123;Брелок из паракорда для ключей - Винчестер-Мосин 1940;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36124;Темляк из паракорда для ножа - Ограниченная серия - 1957-1967;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36125;Темляк из паракорда для ножа - Ограниченная серия - 1957-1958;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36126;Темляк из паракорда для ножа - 16 августа 1945 года бои за Харбин, ТТ;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36128;Темляк из паракорда для ножа \\;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36130;Темляк из паракорда для ножа - Ограниченная серия - 1953;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36131;Темляк из паракорда для ножа - Советско-финская война 1940, Винчестер-;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36133;Темляк из паракорда для ножа - Парабеллум 9×19 мм 1942-1943;ENDED;0.99;0.00;0;Продажа по фиксированной цене.;[]
36143;Ключница с дверкой &#40;20х30&#41;;ENDED;1250.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36144;подсвечники  СССР.;ENDED;1500.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36184;подсвечник ПАЖ--СССР;ENDED;349.00;0.00;0;Керамика, фарфор, стекло (предметы декоративно-прикладного искусства, посуда);[]
36185;Подсвечник \\\&quot;СИНИЙ ВЕЧЕР\\\&quot;. Авт.Албух В.В. ЗХК ПОЛОННОЕ.;ENDED;699.00;0.00;0;Керамика, фарфор, стекло (предметы декоративно-прикладного искусства, посуда);[]
36186;подсвечник-Канделябр  Старинный.;ENDED;2000.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36187;подсвечник-времен СССР.;ENDED;200.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36188;подсвечники\&quot; Грифон\&quot;- времен СССР.;ENDED;1350.00;1350.00;1;Произведения декоративно-прикладного искусства;[]
36189;подсвечники маленькие;ENDED;200.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36190;подсвечник настенный железо;ENDED;200.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36191;подсвечник &#40; селенит гранит&#41;;ENDED;350.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36193;3 копейки 1860 г.&#40;низкопрофильник&#41;;ENDED;400.00;0.00;0;Имперские (Россия);[]
36195;5 Копеек «Орел В Облаках» Елизаветы &#40;1757 Г.&#41;;ENDED;1600.00;0.00;0;Имперские (Россия);[]
36203;Старинный бронзовый подсвечник.малый;ENDED;750.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36206; подсвечник СССР.;ENDED;250.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36207;части алтарных подсвечников;ENDED;250.00;0.00;0;Христианская металлопластика 14-19вв;[]
36208;Ножницы для тушения свечи и снятия нагара.;ENDED;999.00;0.00;0;Христианская металлопластика 14-19вв;[]
36217;Мон. Трапезунда;ENDED;1500.00;0.00;0;Античные монеты;[]
36226;Перстень. крест;ENDED;200.00;200.00;1;Перстни и кольца;[]
36257; подсвечник бронза старинный 6;ENDED;1500.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36258; подсвечник бронза старинный 5;ENDED;550.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36260; подсвечник бронза старинный 8;ENDED;1500.00;0.00;0;Произведения декоративно-прикладного искусства;[]
36265;Немецкая каска &#40;реставрированная&#41;;ENDED;5000.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36271;Куфический дерхем;ENDED;500.00;0.00;0;Восточные;[]
36272;2 копейки 1758 год;ENDED;200.00;0.00;0;Имперские (Россия);[]
36274;5 копеек 1767 Е.М;ENDED;500.00;0.00;0;Имперские (Россия);[]
36275;5 копеек 1770 Е.М;ENDED;600.00;0.00;0;Имперские (Россия);[]
36276;5 копеек 1760 год;ENDED;800.00;0.00;0;Имперские (Россия);[]
36277;Крест нательный большой;ENDED;1000.00;0.00;0;Государственные награды Россйской Империи  (ордена, кресты, медали);[]
36278;2 копейки 1838 года;ENDED;350.00;0.00;0;Имперские (Россия);[]
36279;Перстень;ENDED;1000.00;0.00;0;Перстни и кольца;[]
36285;Денга лот;ENDED;550.00;0.00;0;Имперские (Россия);[]
36286;Денга;ENDED;150.00;0.00;0;Имперские (Россия);[]
36287;Копейка 1758;ENDED;350.00;0.00;0;Имперские (Россия);[]
36288;2 полушки;ENDED;500.00;0.00;0;Имперские (Россия);[]
36289;2 копейки 1883 года;ENDED;800.00;0.00;0;Имперские (Россия);[]
36291;Копейка 1795 года;ENDED;1000.00;0.00;0;Имперские (Россия);[]
36292;Копейка 1798 года;ENDED;550.00;0.00;0;Имперские (Россия);[]
36293;Полушка 1771 года;ENDED;555.00;0.00;0;Имперские (Россия);[]
36294;Полушка 1766 года;ENDED;350.00;0.00;0;Имперские (Россия);[]
36319;50 копеек 24- год  СССР &#40;пл-тр&#41;;ENDED;1100.00;0.00;0;Россия и СССР;[]
36382;Советы билон;ENDED;450.00;0.00;0;Россия и СССР;[]
36406;Копейка 1713 года;ENDED;700.00;0.00;0;Имперские (Россия);[]
36407;Денга 1710 года;ENDED;700.00;0.00;0;Имперские (Россия);[]
36408;Язычки от ремня &#40;серебро&#41;;ENDED;2500.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36409;Язычки от ремня &#40;серебро&#41;;ENDED;2500.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36410;Язычки от ремня &#40;серебро&#41;;ENDED;2500.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36411;2 копейки 1773 года;ENDED;850.00;0.00;0;Имперские (Россия);[]
36412;2 копейки 1788 года;ENDED;650.00;0.00;0;Имперские (Россия);[]
36432;Рубль 1896 года АГ;ENDED;5000.00;0.00;0;Имперские (Россия);[]
36434;  СССР до реформа;ENDED;500.00;0.00;0;Россия и СССР;[]
36444;5 копеек 1791 АМ;ENDED;800.00;0.00;0;Имперские (Россия);[]
36458;монеты СССР 2-кг;ENDED;1300.00;0.00;0;Россия и СССР;[]
36459;монеты Украины 1,6-кг;ENDED;1100.00;0.00;0;Россия и СССР;[]
36470;2 копейки 1763 спм пере чекан;ENDED;250.00;0.00;0;Имперские (Россия);[]
36476;30 копеек 2 злотых 1836 г.;ENDED;3000.00;0.00;0;Имперские (Россия);[]
36479;Монеты СССР 5шт.&#40;Билон&#41;;ENDED;250.00;250.00;1;Россия и СССР;[]
36491;мон. Медуза Горг;ENDED;250.00;0.00;0;Античные монеты;[]
36495;Пинцет;ENDED;150.00;0.00;0;Металлопластика средневековая,  восточные предметы до 1917г;[]
36501;Трапезунд Михаил;ENDED;250.00;0.00;0;Средневековые (Европа);[]
36520;Крымское ханство.Разное;ENDED;1000.00;0.00;0;Восточные;[]
